City,State short,State full,County
"Lunden","SH","Schleswig-Holstein","Dithmarschen"
"Norderheistedt","SH","Schleswig-Holstein","Dithmarschen"
"Pahlen","SH","Schleswig-Holstein","Dithmarschen"
"Rehm-Flehde-Bargen","SH","Schleswig-Holstein","Dithmarschen"
"Sankt Annen","SH","Schleswig-Holstein","Dithmarschen"
"Schalkholz","SH","Schleswig-Holstein","Dithmarschen"
"Schlichting","SH","Schleswig-Holstein","Dithmarschen"
"Tellingstedt","SH","Schleswig-Holstein","Dithmarschen"
"Tielenhemme","SH","Schleswig-Holstein","Dithmarschen"
"Wallen","SH","Schleswig-Holstein","Dithmarschen"
"Welmbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Westerborstel","SH","Schleswig-Holstein","Dithmarschen"
"Wiemerstedt","SH","Schleswig-Holstein","Dithmarschen"
"Wrohm","SH","Schleswig-Holstein","Dithmarschen"
"Süderdorf","SH","Schleswig-Holstein","Dithmarschen"
"Süderheistedt","SH","Schleswig-Holstein","Dithmarschen"
"Hemmingstedt","SH","Schleswig-Holstein","Dithmarschen"
"Lieth","SH","Schleswig-Holstein","Dithmarschen"
"Lohe-Rickelshof","SH","Schleswig-Holstein","Dithmarschen"
"Neuenkirchen","SH","Schleswig-Holstein","Dithmarschen"
"Norderwöhrden","SH","Schleswig-Holstein","Dithmarschen"
"Nordhastedt","SH","Schleswig-Holstein","Dithmarschen"
"Ostrohe","SH","Schleswig-Holstein","Dithmarschen"
"Stelle-Wittenwurth","SH","Schleswig-Holstein","Dithmarschen"
"Wöhrden","SH","Schleswig-Holstein","Dithmarschen"
"Weddingstedt","SH","Schleswig-Holstein","Dithmarschen"
"Wesseln","SH","Schleswig-Holstein","Dithmarschen"
"Albersdorf","SH","Schleswig-Holstein","Dithmarschen"
"Arkebek","SH","Schleswig-Holstein","Dithmarschen"
"Bargenstedt","SH","Schleswig-Holstein","Dithmarschen"
"Barlt","SH","Schleswig-Holstein","Dithmarschen"
"Bunsoh","SH","Schleswig-Holstein","Dithmarschen"
"Busenwurth","SH","Schleswig-Holstein","Dithmarschen"
"Elpersbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Epenwöhrden","SH","Schleswig-Holstein","Dithmarschen"
"Gudendorf","SH","Schleswig-Holstein","Dithmarschen"
"Immenstedt","SH","Schleswig-Holstein","Dithmarschen"
"Krumstedt","SH","Schleswig-Holstein","Dithmarschen"
"Meldorf","SH","Schleswig-Holstein","Dithmarschen"
"Nindorf","SH","Schleswig-Holstein","Dithmarschen"
"Odderade","SH","Schleswig-Holstein","Dithmarschen"
"Offenbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Osterrade","SH","Schleswig-Holstein","Dithmarschen"
"Sarzbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Schafstedt","SH","Schleswig-Holstein","Dithmarschen"
"Schrum","SH","Schleswig-Holstein","Dithmarschen"
"Wennbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Windbergen","SH","Schleswig-Holstein","Dithmarschen"
"Wolmersdorf","SH","Schleswig-Holstein","Dithmarschen"
"Nordermeldorf","SH","Schleswig-Holstein","Dithmarschen"
"Tensbüttel-Röst","SH","Schleswig-Holstein","Dithmarschen"
"Büsum","SH","Schleswig-Holstein","Dithmarschen"
"Büsumer Deichhausen","SH","Schleswig-Holstein","Dithmarschen"
"Friedrichsgabekoog","SH","Schleswig-Holstein","Dithmarschen"
"Hedwigenkoog","SH","Schleswig-Holstein","Dithmarschen"
"Hellschen-Heringsand-Unterschaar","SH","Schleswig-Holstein","Dithmarschen"
"Hillgroven","SH","Schleswig-Holstein","Dithmarschen"
"Norddeich","SH","Schleswig-Holstein","Dithmarschen"
"Oesterdeichstrich","SH","Schleswig-Holstein","Dithmarschen"
"Reinsbüttel","SH","Schleswig-Holstein","Dithmarschen"
"Schülp","SH","Schleswig-Holstein","Dithmarschen"
"Strübbel","SH","Schleswig-Holstein","Dithmarschen"
"Süderdeich","SH","Schleswig-Holstein","Dithmarschen"
"Warwerort","SH","Schleswig-Holstein","Dithmarschen"
"Wesselburen","SH","Schleswig-Holstein","Dithmarschen"
"Wesselburener Deichhausen","SH","Schleswig-Holstein","Dithmarschen"
"Wesselburenerkoog","SH","Schleswig-Holstein","Dithmarschen"
"Westerdeichstrich","SH","Schleswig-Holstein","Dithmarschen"
"Oesterwurth","SH","Schleswig-Holstein","Dithmarschen"
"Geesthacht","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Lauenburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Mölln","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Ratzeburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schwarzenbek","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Wentorf bei Hamburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Behlendorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Berkenthin","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Bliestorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Düchelsdorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Göldenitz","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kastorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Klempau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Krummesse","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Niendorf bei Berkenthin","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Rondeshagen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Sierksrade","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Alt-Mölln","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Bälau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Borstorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Breitenfelde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Grambek","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Hornbek","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Lehmrade","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Niendorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schretstaken","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Talkau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Woltersdorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Besenthal","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Bröthen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Büchen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Fitzen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Göttin","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Gudow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Güster","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Klein Pampau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Langenlehsten","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Müssen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Roseburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schulendorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Siebeneichen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Tramm","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Witzeeze","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Aumühle","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Börnsen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Dassendorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Escheburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Hamwarde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Hohenhorn","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kröppelshagen-Fahrendorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Wiershop","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Wohltorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Worth","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Basedow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Buchhorst","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Dalldorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Juliusburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Krüzen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Krukow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Lanze","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Lütau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schnakenbek","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Wangelau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Albsfelde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Bäk","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Brunsmark","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Buchholz","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Einhaus","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Fredeburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Giesensdorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Groß Disnack","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Groß Grönau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Groß Sarau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Harmsdorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Hollenbek","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Horst","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kittlitz","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Klein Zecher","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kulpin","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Mechow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Mustin","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Pogeez","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Römnitz","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Salem","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schmilau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Seedorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Sterley","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Ziethen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Basthorst","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Brunstorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Dahmker","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Elmenhorst","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Fuhlenhagen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Grabau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Groß Pampau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Grove","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Gülzow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Hamfelde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Havekost","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kankelau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kasseburg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Köthel","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kollow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kuddewörde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Möhnsen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Mühlenrade","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Sahms","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Duvensee","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Grinau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Groß Boden","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Groß Schenkenberg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Klinkrade","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Koberg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Kühsen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Labenz","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Lankau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Linau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Lüchow","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Nusse","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Panten","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Poggensee","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Ritzerau","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Sandesneben","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schiphorst","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schönberg","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Schürensöhlen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Siebenbäumen","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Sirksfelde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Steinhorst","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Stubben","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Walksfelde","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Wentorf","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Sachsenwald","SH","Schleswig-Holstein","Herzogtum Lauenburg"
"Friedrichstadt","SH","Schleswig-Holstein","Nordfriesland"
"Husum","SH","Schleswig-Holstein","Nordfriesland"
"Reußenköge","SH","Schleswig-Holstein","Nordfriesland"
"Tönning","SH","Schleswig-Holstein","Nordfriesland"
"Sylt","SH","Schleswig-Holstein","Nordfriesland"
"Garding","SH","Schleswig-Holstein","Nordfriesland"
"Garding","SH","Schleswig-Holstein","Nordfriesland"
"Grothusenkoog","SH","Schleswig-Holstein","Nordfriesland"
"Katharinenheerd","SH","Schleswig-Holstein","Nordfriesland"
"Kotzenbüll","SH","Schleswig-Holstein","Nordfriesland"
"Norderfriedrichskoog","SH","Schleswig-Holstein","Nordfriesland"
"Oldenswort","SH","Schleswig-Holstein","Nordfriesland"
"Osterhever","SH","Schleswig-Holstein","Nordfriesland"
"Poppenbüll","SH","Schleswig-Holstein","Nordfriesland"
"Sankt Peter-Ording","SH","Schleswig-Holstein","Nordfriesland"
"Tating","SH","Schleswig-Holstein","Nordfriesland"
"Tetenbüll","SH","Schleswig-Holstein","Nordfriesland"
"Tümlauer Koog","SH","Schleswig-Holstein","Nordfriesland"
"Vollerwiek","SH","Schleswig-Holstein","Nordfriesland"
"Welt","SH","Schleswig-Holstein","Nordfriesland"
"Westerhever","SH","Schleswig-Holstein","Nordfriesland"
"Hörnum","SH","Schleswig-Holstein","Nordfriesland"
"Kampen","SH","Schleswig-Holstein","Nordfriesland"
"List auf Sylt","SH","Schleswig-Holstein","Nordfriesland"
"Wenningstedt-Braderup","SH","Schleswig-Holstein","Nordfriesland"
"Ahrenviöl","SH","Schleswig-Holstein","Nordfriesland"
"Ahrenviölfeld","SH","Schleswig-Holstein","Nordfriesland"
"Behrendorf","SH","Schleswig-Holstein","Nordfriesland"
"Bondelum","SH","Schleswig-Holstein","Nordfriesland"
"Haselund","SH","Schleswig-Holstein","Nordfriesland"
"Immenstedt","SH","Schleswig-Holstein","Nordfriesland"
"Löwenstedt","SH","Schleswig-Holstein","Nordfriesland"
"Norstedt","SH","Schleswig-Holstein","Nordfriesland"
"Oster-Ohrstedt","SH","Schleswig-Holstein","Nordfriesland"
"Schwesing","SH","Schleswig-Holstein","Nordfriesland"
"Sollwitt","SH","Schleswig-Holstein","Nordfriesland"
"Viöl","SH","Schleswig-Holstein","Nordfriesland"
"Wester-Ohrstedt","SH","Schleswig-Holstein","Nordfriesland"
"Gröde","SH","Schleswig-Holstein","Nordfriesland"
"Hallig Hooge","SH","Schleswig-Holstein","Nordfriesland"
"Langeneß","SH","Schleswig-Holstein","Nordfriesland"
"Pellworm","SH","Schleswig-Holstein","Nordfriesland"
"Alkersum","SH","Schleswig-Holstein","Nordfriesland"
"Borgsum","SH","Schleswig-Holstein","Nordfriesland"
"Dunsum","SH","Schleswig-Holstein","Nordfriesland"
"Midlum","SH","Schleswig-Holstein","Nordfriesland"
"Nebel","SH","Schleswig-Holstein","Nordfriesland"
"Nieblum","SH","Schleswig-Holstein","Nordfriesland"
"Norddorf auf Amrum","SH","Schleswig-Holstein","Nordfriesland"
"Oevenum","SH","Schleswig-Holstein","Nordfriesland"
"Oldsum","SH","Schleswig-Holstein","Nordfriesland"
"Süderende","SH","Schleswig-Holstein","Nordfriesland"
"Utersum","SH","Schleswig-Holstein","Nordfriesland"
"Witsum","SH","Schleswig-Holstein","Nordfriesland"
"Wittdün auf Amrum","SH","Schleswig-Holstein","Nordfriesland"
"Wrixum","SH","Schleswig-Holstein","Nordfriesland"
"Wyk auf Föhr","SH","Schleswig-Holstein","Nordfriesland"
"Achtrup","SH","Schleswig-Holstein","Nordfriesland"
"Aventoft","SH","Schleswig-Holstein","Nordfriesland"
"Bosbüll","SH","Schleswig-Holstein","Nordfriesland"
"Braderup","SH","Schleswig-Holstein","Nordfriesland"
"Bramstedtlund","SH","Schleswig-Holstein","Nordfriesland"
"Dagebüll","SH","Schleswig-Holstein","Nordfriesland"
"Ellhöft","SH","Schleswig-Holstein","Nordfriesland"
"Friedrich-Wilhelm-Lübke-Koog","SH","Schleswig-Holstein","Nordfriesland"
"Holm","SH","Schleswig-Holstein","Nordfriesland"
"Humptrup","SH","Schleswig-Holstein","Nordfriesland"
"Karlum","SH","Schleswig-Holstein","Nordfriesland"
"Klanxbüll","SH","Schleswig-Holstein","Nordfriesland"
"Klixbüll","SH","Schleswig-Holstein","Nordfriesland"
"Ladelund","SH","Schleswig-Holstein","Nordfriesland"
"Leck","SH","Schleswig-Holstein","Nordfriesland"
"Lexgaard","SH","Schleswig-Holstein","Nordfriesland"
"Neukirchen","SH","Schleswig-Holstein","Nordfriesland"
"Niebüll","SH","Schleswig-Holstein","Nordfriesland"
"Risum-Lindholm","SH","Schleswig-Holstein","Nordfriesland"
"Rodenäs","SH","Schleswig-Holstein","Nordfriesland"
"Sprakebüll","SH","Schleswig-Holstein","Nordfriesland"
"Stadum","SH","Schleswig-Holstein","Nordfriesland"
"Stedesand","SH","Schleswig-Holstein","Nordfriesland"
"Süderlügum","SH","Schleswig-Holstein","Nordfriesland"
"Tinningstedt","SH","Schleswig-Holstein","Nordfriesland"
"Uphusum","SH","Schleswig-Holstein","Nordfriesland"
"Westre","SH","Schleswig-Holstein","Nordfriesland"
"Galmsbüll","SH","Schleswig-Holstein","Nordfriesland"
"Emmelsbüll-Horsbüll","SH","Schleswig-Holstein","Nordfriesland"
"Enge-Sande","SH","Schleswig-Holstein","Nordfriesland"
"Arlewatt","SH","Schleswig-Holstein","Nordfriesland"
"Drage","SH","Schleswig-Holstein","Nordfriesland"
"Elisabeth-Sophien-Koog","SH","Schleswig-Holstein","Nordfriesland"
"Fresendelf","SH","Schleswig-Holstein","Nordfriesland"
"Hattstedt","SH","Schleswig-Holstein","Nordfriesland"
"Hattstedtermarsch","SH","Schleswig-Holstein","Nordfriesland"
"Horstedt","SH","Schleswig-Holstein","Nordfriesland"
"Hude","SH","Schleswig-Holstein","Nordfriesland"
"Koldenbüttel","SH","Schleswig-Holstein","Nordfriesland"
"Mildstedt","SH","Schleswig-Holstein","Nordfriesland"
"Nordstrand","SH","Schleswig-Holstein","Nordfriesland"
"Oldersbek","SH","Schleswig-Holstein","Nordfriesland"
"Olderup","SH","Schleswig-Holstein","Nordfriesland"
"Ostenfeld","SH","Schleswig-Holstein","Nordfriesland"
"Ramstedt","SH","Schleswig-Holstein","Nordfriesland"
"Rantrum","SH","Schleswig-Holstein","Nordfriesland"
"Schwabstedt","SH","Schleswig-Holstein","Nordfriesland"
"Seeth","SH","Schleswig-Holstein","Nordfriesland"
"Simonsberg","SH","Schleswig-Holstein","Nordfriesland"
"Süderhöft","SH","Schleswig-Holstein","Nordfriesland"
"Südermarsch","SH","Schleswig-Holstein","Nordfriesland"
"Uelvesbüll","SH","Schleswig-Holstein","Nordfriesland"
"Winnert","SH","Schleswig-Holstein","Nordfriesland"
"Wisch","SH","Schleswig-Holstein","Nordfriesland"
"Wittbek","SH","Schleswig-Holstein","Nordfriesland"
"Witzwort","SH","Schleswig-Holstein","Nordfriesland"
"Wobbenbüll","SH","Schleswig-Holstein","Nordfriesland"
"Ahrenshöft","SH","Schleswig-Holstein","Nordfriesland"
"Almdorf","SH","Schleswig-Holstein","Nordfriesland"
"Bargum","SH","Schleswig-Holstein","Nordfriesland"
"Bohmstedt","SH","Schleswig-Holstein","Nordfriesland"
"Bordelum","SH","Schleswig-Holstein","Nordfriesland"
"Bredstedt","SH","Schleswig-Holstein","Nordfriesland"
"Breklum","SH","Schleswig-Holstein","Nordfriesland"
"Drelsdorf","SH","Schleswig-Holstein","Nordfriesland"
"Goldebek","SH","Schleswig-Holstein","Nordfriesland"
"Goldelund","SH","Schleswig-Holstein","Nordfriesland"
"Högel","SH","Schleswig-Holstein","Nordfriesland"
"Joldelund","SH","Schleswig-Holstein","Nordfriesland"
"Kolkerheide","SH","Schleswig-Holstein","Nordfriesland"
"Langenhorn","SH","Schleswig-Holstein","Nordfriesland"
"Lütjenholm","SH","Schleswig-Holstein","Nordfriesland"
"Ockholm","SH","Schleswig-Holstein","Nordfriesland"
"Sönnebüll","SH","Schleswig-Holstein","Nordfriesland"
"Struckum","SH","Schleswig-Holstein","Nordfriesland"
"Vollstedt","SH","Schleswig-Holstein","Nordfriesland"
"Ahrensbök","SH","Schleswig-Holstein","Ostholstein"
"Bad Schwartau","SH","Schleswig-Holstein","Ostholstein"
"Bosau","SH","Schleswig-Holstein","Ostholstein"
"Dahme","SH","Schleswig-Holstein","Ostholstein"
"Eutin","SH","Schleswig-Holstein","Ostholstein"
"Grömitz","SH","Schleswig-Holstein","Ostholstein"
"Grube","SH","Schleswig-Holstein","Ostholstein"
"Heiligenhafen","SH","Schleswig-Holstein","Ostholstein"
"Kellenhusen","SH","Schleswig-Holstein","Ostholstein"
"Malente","SH","Schleswig-Holstein","Ostholstein"
"Neustadt in Holstein","SH","Schleswig-Holstein","Ostholstein"
"Oldenburg in Holstein","SH","Schleswig-Holstein","Ostholstein"
"Ratekau","SH","Schleswig-Holstein","Ostholstein"
"Stockelsdorf","SH","Schleswig-Holstein","Ostholstein"
"Süsel","SH","Schleswig-Holstein","Ostholstein"
"Timmendorfer Strand","SH","Schleswig-Holstein","Ostholstein"
"Scharbeutz","SH","Schleswig-Holstein","Ostholstein"
"Fehmarn","SH","Schleswig-Holstein","Ostholstein"
"Göhl","SH","Schleswig-Holstein","Ostholstein"
"Gremersdorf","SH","Schleswig-Holstein","Ostholstein"
"Großenbrode","SH","Schleswig-Holstein","Ostholstein"
"Heringsdorf","SH","Schleswig-Holstein","Ostholstein"
"Neukirchen","SH","Schleswig-Holstein","Ostholstein"
"Wangels","SH","Schleswig-Holstein","Ostholstein"
"Beschendorf","SH","Schleswig-Holstein","Ostholstein"
"Damlos","SH","Schleswig-Holstein","Ostholstein"
"Harmsdorf","SH","Schleswig-Holstein","Ostholstein"
"Kabelhorst","SH","Schleswig-Holstein","Ostholstein"
"Lensahn","SH","Schleswig-Holstein","Ostholstein"
"Manhagen","SH","Schleswig-Holstein","Ostholstein"
"Riepsdorf","SH","Schleswig-Holstein","Ostholstein"
"Altenkrempe","SH","Schleswig-Holstein","Ostholstein"
"Kasseedorf","SH","Schleswig-Holstein","Ostholstein"
"Schashagen","SH","Schleswig-Holstein","Ostholstein"
"Schönwalde am Bungsberg","SH","Schleswig-Holstein","Ostholstein"
"Sierksdorf","SH","Schleswig-Holstein","Ostholstein"
"Barmstedt","SH","Schleswig-Holstein","Pinneberg"
"Bönningstedt","SH","Schleswig-Holstein","Pinneberg"
"Elmshorn","SH","Schleswig-Holstein","Pinneberg"
"Halstenbek","SH","Schleswig-Holstein","Pinneberg"
"Hasloh","SH","Schleswig-Holstein","Pinneberg"
"Helgoland","SH","Schleswig-Holstein","Pinneberg"
